Articulacion,Max,Min,Simox-names,Limb,YARP,CAN IDs,JOINT,MOTOR,R. total,Hard. Limit Min (degrees),Hard. Limit Max (degrees),Soft. Limit Min (degrees) ,Soft. Limit Max (degrees) ,,Human-inspired Min Limit (degrees),Human-inspired Max Limit (degrees)
Tobillo Sagital Drch.,0.7417649321,-0.3473205211,RightSaggitalAnkle,Right leg (/dev/can0),6,1,TSD-1,251601,235.2,-24.956062,47.521973,-19.9,42.5,,-5,5
Tobillo Frontal Drch.,0.44331363,-0.4031710572,RightFrontalAnkle,Right leg (/dev/can0),5,2,TFD-2,402686,270.4,-28.119507,30.386658,-23.1,25.4,,-20,25.4
Rodilla Frontal Drch.,1.4381513036,-1.0698868315,RightFrontalKnee,Right leg (/dev/can0),4,3,RFD-3,402686,235.2,-66.326904,87.434097,-61.3,82.4,,-61.3,82.4
Cadera Frontal Drch.,0.7382742736,-0.5515240436,RightFrontalHip,Right leg (/dev/can0),3,4,CFD-4,402686,192,-36.625671,47.275921,-31.6,42.3,,-31.6,30
Cadera Sagital Drch.,0.2181661565,-0.2478367538,RightSaggitalHip,Right leg (/dev/can0),2,5,CSD-5,251601,523.2,-19.244287,17.486818,-14.2,12.5,,-14.2,12.5
Cadera Axial Drch.,0.4869468613,-0.5724679947,RightAxialHip,Right leg (/dev/can0),1,6,CAD-6,339287,400,-37.785587,32.934967,-32.8,27.9,,-32.8,27.9
Cintura Frontal,0.1762782545,-1.5777776438,FrontalWaist,Right leg (/dev/can0),0,14,CF-14,251601,480,-95.412994,15.114234,-90.4,10.1,,-90.4,10.1
Cintura Axial,0.8080874437,-1.0349802464,AxialWaist,Left leg (/dev/can1),0,13,CA-13,251601,160,-51.318099,51.318099,-59.3,46.3,,-30,30
Cadera Axial Izq.,0.5724679947,-0.4869468613,LeftAxialHip,Left leg (/dev/can1),1,7,CAI-7,339287,400,-32.934967,37.785587,-27.9,32.8,,-27.9,32.8
Cadera Sagital Izq.,0.2478367538,-0.2181661565,LeftSaggitalHip,Left leg (/dev/can1),2,8,CSI-8,339287,523.2,-17.486818,19.244287,-12.5,14.2,,-12.5,14.2
Cadera Frontal Izq.,0.7382742736,-0.5515240436,LeftFrontalHip,Left leg (/dev/can1),3,9,CFI-9,402686,192,-36.625671,47.275921,-31.6,42.3,,-31.6,30
Rodilla Frontal Izq.,1.4381513036,-1.0698868315,LeftFrontalKnee,Left leg (/dev/can1),4,10,RFI-10,402686,235.2,-66.326904,87.434097,-61.3,82.4,,-61.3,82.4
Tobillo Frontal Izq.,0.44331363,-0.4031710572,LeftFrontalAnkle,Left leg (/dev/can1),5,11,TFI-11,402686,270.4,-28.119507,30.386658,-23.1,25.4,,-20,25.4
Tobillo Sagital Izq.,0.3473205211,-0.7417649321,LeftSaggitalAnkle,Left leg (/dev/can1),6,12,TSI-12,251601,235.2,-47.521973,24.956062,-42.5,19.9,,-5,5
Hombro Frontal Der.,1.8500490071,-1.7121679962,RightFrontalShoulder,Right arm (/dev/can0),0,15,HFD-15,339282,160,-103.07556,110.966614,-98.1,106,,-98.1,45
Hombro Sagital Der.,0.3909537524,-1.3177235853,RightSaggitalShoulder,Right arm (/dev/can0),1,16,HSD-16,339282,160,-80.474518,27.416519,-75.5,22.4,,-75.5,22.4
Hombro Axial Der.,0.9948376736,-1.3980087308,RightAxialShoulder,Right arm (/dev/can0),2,17,HAD-17,339282,120,-85.149384,62.021088,-80.1,57,,-40,55
Codo Frontal Der.,1.717403984,-1.738347935,RightFrontalElbow,Right arm (/dev/can0),3,18,CFD-18,339282,160,-104.56942,103.409485,-99.6,98.4,,-99.6,5
Muneca Axial Der.,1.738347935,-1.4032447186,RightAxialWrist,Right arm (/dev/can0),4,19,MAD-19,339282,120,-85.413002,104.63972,-80.4,99.6,,-80.4,90
Muneca Frontal Der.,0.7801621756,-2.008873969,RightFrontalWrist,Right arm (/dev/can0),5,20,MFD-20,339282,120,-120.123024,49.718811,-115.1,44.7,,-70,44.7
Hombro Frontal Izq.,1.9757127133,-1.6894787159,LeftFrontalShoulder,Left arm (/dev/can1),0,21,HFI-21,339282,160,-101.827759,118.189804,-96.8,113.2,,-96.8,45
Hombro Sagital Izq.,1.3351768778,-0.4171336912,LeftSaggitalShoulder,Left arm (/dev/can1),1,22,HSI-22,339282,160,-28.892792,81.458702,-23.9,76.5,,-23.9,76.5
Hombro Axial Izq.,1.4678219009,-0.900589894,LeftAxialShoulder,Left arm (/dev/can1),2,23,HAI-23,339282,120,-56.590508,89.086121,-51.6,84.1,,-51.6,40
Codo Frontal Izq.,1.6894787159,-1.7645278738,LeftFrontalElbow,Left arm (/dev/can1),3,24,CFI-24,339282,160,-106.13357,101.845345,-101.1,96.8,,-101.1,5
Muneca Axial Izq.,1.3334315485,-1.7680185323,LeftAxialWrist,Left arm (/dev/can1),4,25,MAI-25,339282,120,-106.32688,81.441132,-101.3,76.4,,-90,76.4
Muneca Frontal Izq.,1.0698868315,-1.9774580425,LeftFrontalWrist,Left arm (/dev/can1),5,26,MFI-26,339282,120,-118.260101,66.34446,-113.3,61.3,,-70,61.3
